name,model,formula,threads,time_s,search_strategy
mexican_standoff_3p_1hp_lcgs_survive,mexican_standoff/mexican_standoff_3p_1hp.lcgs,mexican_standoff/can_p1_guarantee_to_survive_FALSE.json,1,0.018926624208688736,lps
mexican_standoff_3p_1hp_lcgs_survive,mexican_standoff/mexican_standoff_3p_1hp.lcgs,mexican_standoff/can_p1_guarantee_to_survive_FALSE.json,2,0.023370666429400444,lps
mexican_standoff_3p_1hp_lcgs_survive,mexican_standoff/mexican_standoff_3p_1hp.lcgs,mexican_standoff/can_p1_guarantee_to_survive_FALSE.json,4,0.02175009250640869,lps
mexican_standoff_3p_1hp_lcgs_survive,mexican_standoff/mexican_standoff_3p_1hp.lcgs,mexican_standoff/can_p1_guarantee_to_survive_FALSE.json,8,0.024248933419585228,lps
mexican_standoff_3p_1hp_lcgs_survive,mexican_standoff/mexican_standoff_3p_1hp.lcgs,mexican_standoff/can_p1_guarantee_to_survive_FALSE.json,16,0.026297014206647873,lps
mexican_standoff_3p_1hp_lcgs_survive,mexican_standoff/mexican_standoff_3p_1hp.lcgs,mexican_standoff/can_p1_guarantee_to_survive_FALSE.json,32,0.02918960340321064,lps
mexican_standoff_3p_1hp_lcgs_suicide,mexican_standoff/mexican_standoff_3p_1hp.lcgs,mexican_standoff/can_p1_suicide_FALSE.json,1,0.017976870760321617,lps
mexican_standoff_3p_1hp_lcgs_suicide,mexican_standoff/mexican_standoff_3p_1hp.lcgs,mexican_standoff/can_p1_suicide_FALSE.json,2,0.02558699995279312,lps
mexican_standoff_3p_1hp_lcgs_suicide,mexican_standoff/mexican_standoff_3p_1hp.lcgs,mexican_standoff/can_p1_suicide_FALSE.json,4,0.03946202993392944,lps
mexican_standoff_3p_1hp_lcgs_suicide,mexican_standoff/mexican_standoff_3p_1hp.lcgs,mexican_standoff/can_p1_suicide_FALSE.json,8,0.043675372377038,lps
mexican_standoff_3p_1hp_lcgs_suicide,mexican_standoff/mexican_standoff_3p_1hp.lcgs,mexican_standoff/can_p1_suicide_FALSE.json,16,0.06421255134046078,lps
mexican_standoff_3p_1hp_lcgs_suicide,mexican_standoff/mexican_standoff_3p_1hp.lcgs,mexican_standoff/can_p1_suicide_FALSE.json,32,0.08609494753181934,lps
mexican_standoff_3p_1hp_lcgs_teamwork,mexican_standoff/mexican_standoff_3p_1hp.lcgs,mexican_standoff/can_2_players_guarantee_atleast_one_of_them_survives.json,1,0.0215921550989151,lps
mexican_standoff_3p_1hp_lcgs_teamwork,mexican_standoff/mexican_standoff_3p_1hp.lcgs,mexican_standoff/can_2_players_guarantee_atleast_one_of_them_survives.json,2,0.029469825327396393,lps
mexican_standoff_3p_1hp_lcgs_teamwork,mexican_standoff/mexican_standoff_3p_1hp.lcgs,mexican_standoff/can_2_players_guarantee_atleast_one_of_them_survives.json,4,0.037258125841617584,lps
mexican_standoff_3p_1hp_lcgs_teamwork,mexican_standoff/mexican_standoff_3p_1hp.lcgs,mexican_standoff/can_2_players_guarantee_atleast_one_of_them_survives.json,8,0.048550957813858986,lps
mexican_standoff_3p_1hp_lcgs_teamwork,mexican_standoff/mexican_standoff_3p_1hp.lcgs,mexican_standoff/can_2_players_guarantee_atleast_one_of_them_survives.json,16,0.06797844730317593,lps
mexican_standoff_3p_1hp_lcgs_teamwork,mexican_standoff/mexican_standoff_3p_1hp.lcgs,mexican_standoff/can_2_players_guarantee_atleast_one_of_them_survives.json,32,0.12478591315448284,lps
mexican_standoff_3p_3hp_lcgs_survive,mexican_standoff/mexican_standoff_3p_3hp.lcgs,mexican_standoff/can_p1_guarantee_to_survive_FALSE.json,1,0.03705039992928505,lps
mexican_standoff_3p_3hp_lcgs_survive,mexican_standoff/mexican_standoff_3p_3hp.lcgs,mexican_standoff/can_p1_guarantee_to_survive_FALSE.json,2,0.03230799175798893,lps
mexican_standoff_3p_3hp_lcgs_survive,mexican_standoff/mexican_standoff_3p_3hp.lcgs,mexican_standoff/can_p1_guarantee_to_survive_FALSE.json,4,0.03045249916613102,lps
mexican_standoff_3p_3hp_lcgs_survive,mexican_standoff/mexican_standoff_3p_3hp.lcgs,mexican_standoff/can_p1_guarantee_to_survive_FALSE.json,8,0.03092326782643795,lps
mexican_standoff_3p_3hp_lcgs_survive,mexican_standoff/mexican_standoff_3p_3hp.lcgs,mexican_standoff/can_p1_guarantee_to_survive_FALSE.json,16,0.028497062623500824,lps
mexican_standoff_3p_3hp_lcgs_survive,mexican_standoff/mexican_standoff_3p_3hp.lcgs,mexican_standoff/can_p1_guarantee_to_survive_FALSE.json,32,0.029206926003098488,lps
mexican_standoff_3p_3hp_lcgs_suicide,mexican_standoff/mexican_standoff_3p_3hp.lcgs,mexican_standoff/can_p1_suicide_FALSE.json,1,0.03599044121801853,lps
mexican_standoff_3p_3hp_lcgs_suicide,mexican_standoff/mexican_standoff_3p_3hp.lcgs,mexican_standoff/can_p1_suicide_FALSE.json,2,0.039023632183671,lps
mexican_standoff_3p_3hp_lcgs_suicide,mexican_standoff/mexican_standoff_3p_3hp.lcgs,mexican_standoff/can_p1_suicide_FALSE.json,4,0.04187494143843651,lps
mexican_standoff_3p_3hp_lcgs_suicide,mexican_standoff/mexican_standoff_3p_3hp.lcgs,mexican_standoff/can_p1_suicide_FALSE.json,8,0.05826404131948948,lps
mexican_standoff_3p_3hp_lcgs_suicide,mexican_standoff/mexican_standoff_3p_3hp.lcgs,mexican_standoff/can_p1_suicide_FALSE.json,16,0.06600065529346466,lps
mexican_standoff_3p_3hp_lcgs_suicide,mexican_standoff/mexican_standoff_3p_3hp.lcgs,mexican_standoff/can_p1_suicide_FALSE.json,32,0.13037695363163948,lps
mexican_standoff_3p_3hp_lcgs_teamwork,mexican_standoff/mexican_standoff_3p_3hp.lcgs,mexican_standoff/can_2_players_guarantee_atleast_one_of_them_survives.json,1,0.052563223987817764,lps
mexican_standoff_3p_3hp_lcgs_teamwork,mexican_standoff/mexican_standoff_3p_3hp.lcgs,mexican_standoff/can_2_players_guarantee_atleast_one_of_them_survives.json,2,0.04899094998836517,lps
mexican_standoff_3p_3hp_lcgs_teamwork,mexican_standoff/mexican_standoff_3p_3hp.lcgs,mexican_standoff/can_2_players_guarantee_atleast_one_of_them_survives.json,4,0.04885205999016762,lps
mexican_standoff_3p_3hp_lcgs_teamwork,mexican_standoff/mexican_standoff_3p_3hp.lcgs,mexican_standoff/can_2_players_guarantee_atleast_one_of_them_survives.json,8,0.05458938516676426,lps
mexican_standoff_3p_3hp_lcgs_teamwork,mexican_standoff/mexican_standoff_3p_3hp.lcgs,mexican_standoff/can_2_players_guarantee_atleast_one_of_them_survives.json,16,0.08113391138613224,lps
mexican_standoff_3p_3hp_lcgs_teamwork,mexican_standoff/mexican_standoff_3p_3hp.lcgs,mexican_standoff/can_2_players_guarantee_atleast_one_of_them_survives.json,32,0.1394441705197096,lps
