name,model,formula,threads,time_s,search_strategy
prismlike_rc7_1,robot_grid/prismlike_robot_grid_N7.lcgs,robot_grid/can_r1_and_r2_swap_with_help_from_r3_FALSE.json,1,7200.0,dhs
prismlike_rc7_1,robot_grid/prismlike_robot_grid_N7.lcgs,robot_grid/can_r1_and_r2_swap_with_help_from_r3_FALSE.json,2,7200.0,dhs
prismlike_rc7_1,robot_grid/prismlike_robot_grid_N7.lcgs,robot_grid/can_r1_and_r2_swap_with_help_from_r3_FALSE.json,4,7200.0,dhs
prismlike_rc7_1,robot_grid/prismlike_robot_grid_N7.lcgs,robot_grid/can_r1_and_r2_swap_with_help_from_r3_FALSE.json,8,5403.50478139706,dhs
prismlike_rc7_1,robot_grid/prismlike_robot_grid_N7.lcgs,robot_grid/can_r1_and_r2_swap_with_help_from_r3_FALSE.json,16,2510.084917932749,dhs
prismlike_rc7_1,robot_grid/prismlike_robot_grid_N7.lcgs,robot_grid/can_r1_and_r2_swap_with_help_from_r3_FALSE.json,32,1105.4407764822245,dhs
prismlike_rc7_2,robot_grid/prismlike_robot_grid_N7.lcgs,robot_grid/everyone_starts_home_TRUE.json,1,0.0192292258143425,dhs
prismlike_rc7_2,robot_grid/prismlike_robot_grid_N7.lcgs,robot_grid/everyone_starts_home_TRUE.json,2,0.022912660613656044,dhs
prismlike_rc7_2,robot_grid/prismlike_robot_grid_N7.lcgs,robot_grid/everyone_starts_home_TRUE.json,4,0.023686444386839867,dhs
prismlike_rc7_2,robot_grid/prismlike_robot_grid_N7.lcgs,robot_grid/everyone_starts_home_TRUE.json,8,0.023941412568092346,dhs
prismlike_rc7_2,robot_grid/prismlike_robot_grid_N7.lcgs,robot_grid/everyone_starts_home_TRUE.json,16,0.024263301864266396,dhs
prismlike_rc7_2,robot_grid/prismlike_robot_grid_N7.lcgs,robot_grid/everyone_starts_home_TRUE.json,32,0.030727334320545197,dhs
prismlike_rc7_3,robot_grid/prismlike_robot_grid_N7.lcgs,robot_grid/exist_path_to_targets_with_no_crashes_TRUE.json,1,7200.0,dhs
prismlike_rc7_3,robot_grid/prismlike_robot_grid_N7.lcgs,robot_grid/exist_path_to_targets_with_no_crashes_TRUE.json,2,7200.0,dhs
prismlike_rc7_3,robot_grid/prismlike_robot_grid_N7.lcgs,robot_grid/exist_path_to_targets_with_no_crashes_TRUE.json,4,4652.229017058387,dhs
prismlike_rc7_3,robot_grid/prismlike_robot_grid_N7.lcgs,robot_grid/exist_path_to_targets_with_no_crashes_TRUE.json,8,2301.760367345065,dhs
prismlike_rc7_3,robot_grid/prismlike_robot_grid_N7.lcgs,robot_grid/exist_path_to_targets_with_no_crashes_TRUE.json,16,1108.5075011458248,dhs
prismlike_rc7_3,robot_grid/prismlike_robot_grid_N7.lcgs,robot_grid/exist_path_to_targets_with_no_crashes_TRUE.json,32,587.0243815463036,dhs
