name,model,formula,threads,time_s,search_strategy
gg6_circular1,gossipping_girls/gossipping_girls_circular_6p.lcgs,gossipping_girls/p123456_ensure_that_p123456_gets_omniscient_before_10_steps_TRUE.json,1,0.03084854781627655,global
gg6_circular1,gossipping_girls/gossipping_girls_circular_6p.lcgs,gossipping_girls/p123456_ensure_that_p123456_gets_omniscient_before_10_steps_TRUE.json,2,0.032354723662137985,global
gg6_circular1,gossipping_girls/gossipping_girls_circular_6p.lcgs,gossipping_girls/p123456_ensure_that_p123456_gets_omniscient_before_10_steps_TRUE.json,4,0.029757339507341385,global
gg6_circular1,gossipping_girls/gossipping_girls_circular_6p.lcgs,gossipping_girls/p123456_ensure_that_p123456_gets_omniscient_before_10_steps_TRUE.json,8,0.033545536920428276,global
gg6_circular1,gossipping_girls/gossipping_girls_circular_6p.lcgs,gossipping_girls/p123456_ensure_that_p123456_gets_omniscient_before_10_steps_TRUE.json,16,0.031976306810975075,global
gg6_circular1,gossipping_girls/gossipping_girls_circular_6p.lcgs,gossipping_girls/p123456_ensure_that_p123456_gets_omniscient_before_10_steps_TRUE.json,32,0.031908780336380005,global
gg6_circular2,gossipping_girls/gossipping_girls_circular_6p.lcgs,gossipping_girls/p123456_ensure_that_only_p1_gets_omniscient_before_10_steps_TRUE.json,1,0.03173829987645149,global
gg6_circular2,gossipping_girls/gossipping_girls_circular_6p.lcgs,gossipping_girls/p123456_ensure_that_only_p1_gets_omniscient_before_10_steps_TRUE.json,2,0.03172854520380497,global
gg6_circular2,gossipping_girls/gossipping_girls_circular_6p.lcgs,gossipping_girls/p123456_ensure_that_only_p1_gets_omniscient_before_10_steps_TRUE.json,4,0.033971261233091354,global
gg6_circular2,gossipping_girls/gossipping_girls_circular_6p.lcgs,gossipping_girls/p123456_ensure_that_only_p1_gets_omniscient_before_10_steps_TRUE.json,8,0.034316934645175934,global
gg6_circular2,gossipping_girls/gossipping_girls_circular_6p.lcgs,gossipping_girls/p123456_ensure_that_only_p1_gets_omniscient_before_10_steps_TRUE.json,16,0.034402476623654366,global
gg6_circular2,gossipping_girls/gossipping_girls_circular_6p.lcgs,gossipping_girls/p123456_ensure_that_only_p1_gets_omniscient_before_10_steps_TRUE.json,32,0.034818023443222046,global
gg6_circular3,gossipping_girls/gossipping_girls_circular_6p.lcgs,gossipping_girls/p123456_ensure_p1_gets_omniscient_before_10_steps_TRUE.json,1,0.03408125974237919,global
gg6_circular3,gossipping_girls/gossipping_girls_circular_6p.lcgs,gossipping_girls/p123456_ensure_p1_gets_omniscient_before_10_steps_TRUE.json,2,0.033461689949035645,global
gg6_circular3,gossipping_girls/gossipping_girls_circular_6p.lcgs,gossipping_girls/p123456_ensure_p1_gets_omniscient_before_10_steps_TRUE.json,4,0.033889541402459145,global
gg6_circular3,gossipping_girls/gossipping_girls_circular_6p.lcgs,gossipping_girls/p123456_ensure_p1_gets_omniscient_before_10_steps_TRUE.json,8,0.0343264564871788,global
gg6_circular3,gossipping_girls/gossipping_girls_circular_6p.lcgs,gossipping_girls/p123456_ensure_p1_gets_omniscient_before_10_steps_TRUE.json,16,0.032072605565190315,global
gg6_circular3,gossipping_girls/gossipping_girls_circular_6p.lcgs,gossipping_girls/p123456_ensure_p1_gets_omniscient_before_10_steps_TRUE.json,32,0.03384548798203468,global
gg6_circular4,gossipping_girls/gossipping_girls_circular_6p.lcgs,gossipping_girls/p123456_omniscient_but_first_after_10_steps_TRUE.json,1,0.03042333573102951,global
gg6_circular4,gossipping_girls/gossipping_girls_circular_6p.lcgs,gossipping_girls/p123456_omniscient_but_first_after_10_steps_TRUE.json,2,0.03270713984966278,global
gg6_circular4,gossipping_girls/gossipping_girls_circular_6p.lcgs,gossipping_girls/p123456_omniscient_but_first_after_10_steps_TRUE.json,4,0.03402438014745712,global
gg6_circular4,gossipping_girls/gossipping_girls_circular_6p.lcgs,gossipping_girls/p123456_omniscient_but_first_after_10_steps_TRUE.json,8,0.03245128504931927,global
gg6_circular4,gossipping_girls/gossipping_girls_circular_6p.lcgs,gossipping_girls/p123456_omniscient_but_first_after_10_steps_TRUE.json,16,0.0335051529109478,global
gg6_circular4,gossipping_girls/gossipping_girls_circular_6p.lcgs,gossipping_girls/p123456_omniscient_but_first_after_10_steps_TRUE.json,32,0.033822543919086456,global
gg6_circular5,gossipping_girls/gossipping_girls_circular_6p.lcgs,gossipping_girls/eventually_10_steps_are_passed_TRUE.json,1,2271.979013280943,global
gg6_circular5,gossipping_girls/gossipping_girls_circular_6p.lcgs,gossipping_girls/eventually_10_steps_are_passed_TRUE.json,2,2341.3835771810263,global
gg6_circular5,gossipping_girls/gossipping_girls_circular_6p.lcgs,gossipping_girls/eventually_10_steps_are_passed_TRUE.json,4,960.5702814217657,global
gg6_circular5,gossipping_girls/gossipping_girls_circular_6p.lcgs,gossipping_girls/eventually_10_steps_are_passed_TRUE.json,8,511.4638042077422,global
gg6_circular5,gossipping_girls/gossipping_girls_circular_6p.lcgs,gossipping_girls/eventually_10_steps_are_passed_TRUE.json,16,330.4563575796783,global
gg6_circular5,gossipping_girls/gossipping_girls_circular_6p.lcgs,gossipping_girls/eventually_10_steps_are_passed_TRUE.json,32,254.79971548728645,global
gg6_circular6,gossipping_girls/gossipping_girls_circular_6p.lcgs,gossipping_girls/p1_gurantee_omniscient_before_10_steps_FALSE.json,1,704.3866487666965,global
gg6_circular6,gossipping_girls/gossipping_girls_circular_6p.lcgs,gossipping_girls/p1_gurantee_omniscient_before_10_steps_FALSE.json,2,725.6547433640808,global
gg6_circular6,gossipping_girls/gossipping_girls_circular_6p.lcgs,gossipping_girls/p1_gurantee_omniscient_before_10_steps_FALSE.json,4,353.84266930632293,global
gg6_circular6,gossipping_girls/gossipping_girls_circular_6p.lcgs,gossipping_girls/p1_gurantee_omniscient_before_10_steps_FALSE.json,8,252.9196111690253,global
gg6_circular6,gossipping_girls/gossipping_girls_circular_6p.lcgs,gossipping_girls/p1_gurantee_omniscient_before_10_steps_FALSE.json,16,209.1576157398522,global
gg6_circular6,gossipping_girls/gossipping_girls_circular_6p.lcgs,gossipping_girls/p1_gurantee_omniscient_before_10_steps_FALSE.json,32,194.8528262656182,global
gg6_circular7,gossipping_girls/gossipping_girls_circular_6p.lcgs,gossipping_girls/p23456_eventually_omniscient_without_p1_TRUE.json,1,0.03397216275334358,global
