name,model,formula,threads,time_s,search_strategy
prismlike_rc3_4,robot_grid/prismlike_robot_grid_N3.lcgs,robot_grid/can_r1_get_past_r2_when_helped_TRUE.atl,1,24.351953407749534,dhs
prismlike_rc3_4,robot_grid/prismlike_robot_grid_N3.lcgs,robot_grid/can_r1_get_past_r2_when_helped_TRUE.atl,2,12.897153792902827,dhs
prismlike_rc3_4,robot_grid/prismlike_robot_grid_N3.lcgs,robot_grid/can_r1_get_past_r2_when_helped_TRUE.atl,4,6.970057498663664,dhs
prismlike_rc3_4,robot_grid/prismlike_robot_grid_N3.lcgs,robot_grid/can_r1_get_past_r2_when_helped_TRUE.atl,8,4.228604229167104,dhs
prismlike_rc3_4,robot_grid/prismlike_robot_grid_N3.lcgs,robot_grid/can_r1_get_past_r2_when_helped_TRUE.atl,16,2.9405487775802612,dhs
prismlike_rc3_4,robot_grid/prismlike_robot_grid_N3.lcgs,robot_grid/can_r1_get_past_r2_when_helped_TRUE.atl,32,2.3544468469917774,dhs
prismlike_rc4_4,robot_grid/prismlike_robot_grid_N4.lcgs,robot_grid/can_r1_get_past_r2_when_helped_TRUE.atl,1,540.0238886792213,dhs
prismlike_rc4_4,robot_grid/prismlike_robot_grid_N4.lcgs,robot_grid/can_r1_get_past_r2_when_helped_TRUE.atl,2,278.6966131813824,dhs
prismlike_rc4_4,robot_grid/prismlike_robot_grid_N4.lcgs,robot_grid/can_r1_get_past_r2_when_helped_TRUE.atl,4,153.80490717105567,dhs
prismlike_rc4_4,robot_grid/prismlike_robot_grid_N4.lcgs,robot_grid/can_r1_get_past_r2_when_helped_TRUE.atl,8,97.00122282095253,dhs
prismlike_rc4_4,robot_grid/prismlike_robot_grid_N4.lcgs,robot_grid/can_r1_get_past_r2_when_helped_TRUE.atl,16,69.05366902798414,dhs
prismlike_rc4_4,robot_grid/prismlike_robot_grid_N4.lcgs,robot_grid/can_r1_get_past_r2_when_helped_TRUE.atl,32,57.968226535245776,dhs
prismlike_rc5_4,robot_grid/prismlike_robot_grid_N5.lcgs,robot_grid/can_r1_get_past_r2_when_helped_TRUE.atl,1,5348.5353092793375,dhs
prismlike_rc5_4,robot_grid/prismlike_robot_grid_N5.lcgs,robot_grid/can_r1_get_past_r2_when_helped_TRUE.atl,2,2810.5421516038477,dhs
prismlike_rc5_4,robot_grid/prismlike_robot_grid_N5.lcgs,robot_grid/can_r1_get_past_r2_when_helped_TRUE.atl,4,1468.7242920733988,dhs
prismlike_rc5_4,robot_grid/prismlike_robot_grid_N5.lcgs,robot_grid/can_r1_get_past_r2_when_helped_TRUE.atl,8,866.1131947282702,dhs
prismlike_rc5_4,robot_grid/prismlike_robot_grid_N5.lcgs,robot_grid/can_r1_get_past_r2_when_helped_TRUE.atl,16,624.6817244831473,dhs
prismlike_rc5_4,robot_grid/prismlike_robot_grid_N5.lcgs,robot_grid/can_r1_get_past_r2_when_helped_TRUE.atl,32,531.2741841282696,dhs
prismlike_rc6_4,robot_grid/prismlike_robot_grid_N6.lcgs,robot_grid/can_r1_get_past_r2_when_helped_TRUE.atl,1,7200.0,dhs
prismlike_rc6_4,robot_grid/prismlike_robot_grid_N6.lcgs,robot_grid/can_r1_get_past_r2_when_helped_TRUE.atl,2,7200.0,dhs
prismlike_rc6_4,robot_grid/prismlike_robot_grid_N6.lcgs,robot_grid/can_r1_get_past_r2_when_helped_TRUE.atl,4,6913.882563168183,dhs
prismlike_rc6_4,robot_grid/prismlike_robot_grid_N6.lcgs,robot_grid/can_r1_get_past_r2_when_helped_TRUE.atl,8,3617.511950822547,dhs
prismlike_rc6_4,robot_grid/prismlike_robot_grid_N6.lcgs,robot_grid/can_r1_get_past_r2_when_helped_TRUE.atl,16,1821.3240376599133,dhs
prismlike_rc6_4,robot_grid/prismlike_robot_grid_N6.lcgs,robot_grid/can_r1_get_past_r2_when_helped_TRUE.atl,32,997.5349134504795,dhs
prismlike_rc7_4,robot_grid/prismlike_robot_grid_N7.lcgs,robot_grid/can_r1_get_past_r2_when_helped_TRUE.atl,1,7200.0,dhs
prismlike_rc7_4,robot_grid/prismlike_robot_grid_N7.lcgs,robot_grid/can_r1_get_past_r2_when_helped_TRUE.atl,2,7200.0,dhs
prismlike_rc7_4,robot_grid/prismlike_robot_grid_N7.lcgs,robot_grid/can_r1_get_past_r2_when_helped_TRUE.atl,4,7200.0,dhs
prismlike_rc7_4,robot_grid/prismlike_robot_grid_N7.lcgs,robot_grid/can_r1_get_past_r2_when_helped_TRUE.atl,8,1199.579608693719,dhs
prismlike_rc7_4,robot_grid/prismlike_robot_grid_N7.lcgs,robot_grid/can_r1_get_past_r2_when_helped_TRUE.atl,16,2718.9413311425596,dhs
prismlike_rc7_4,robot_grid/prismlike_robot_grid_N7.lcgs,robot_grid/can_r1_get_past_r2_when_helped_TRUE.atl,32,1159.3860642649233,dhs
