name,model,formula,threads,time_s,memory_MB,runs
mexican_standoff_3p_3hp_lcgs_survive,mexican_standoff/mexican_standoff_3p_3hp.lcgs,mexican_standoff/can_p1_guarantee_to_survive_FALSE.json,1,0.038970,9.332031,26
mexican_standoff_3p_3hp_lcgs_survive,mexican_standoff/mexican_standoff_3p_3hp.lcgs,mexican_standoff/can_p1_guarantee_to_survive_FALSE.json,2,0.032020,9.859375,32
mexican_standoff_3p_3hp_lcgs_survive,mexican_standoff/mexican_standoff_3p_3hp.lcgs,mexican_standoff/can_p1_guarantee_to_survive_FALSE.json,4,0.029440,10.152344,34
mexican_standoff_3p_3hp_lcgs_survive,mexican_standoff/mexican_standoff_3p_3hp.lcgs,mexican_standoff/can_p1_guarantee_to_survive_FALSE.json,8,0.027337,10.765625,37
mexican_standoff_3p_3hp_lcgs_survive,mexican_standoff/mexican_standoff_3p_3hp.lcgs,mexican_standoff/can_p1_guarantee_to_survive_FALSE.json,16,0.025318,11.335938,40
mexican_standoff_3p_3hp_lcgs_survive,mexican_standoff/mexican_standoff_3p_3hp.lcgs,mexican_standoff/can_p1_guarantee_to_survive_FALSE.json,32,0.027575,12.531250,37
mexican_standoff_5p_1hp_lcgs_survive,mexican_standoff/mexican_standoff_5p_1hp.lcgs,mexican_standoff/can_p1_guarantee_to_survive_FALSE.json,1,0.171736,9.234375,6
mexican_standoff_5p_1hp_lcgs_survive,mexican_standoff/mexican_standoff_5p_1hp.lcgs,mexican_standoff/can_p1_guarantee_to_survive_FALSE.json,2,0.141800,9.738281,8
mexican_standoff_5p_1hp_lcgs_survive,mexican_standoff/mexican_standoff_5p_1hp.lcgs,mexican_standoff/can_p1_guarantee_to_survive_FALSE.json,4,0.100041,9.628906,10
mexican_standoff_5p_1hp_lcgs_survive,mexican_standoff/mexican_standoff_5p_1hp.lcgs,mexican_standoff/can_p1_guarantee_to_survive_FALSE.json,8,0.085011,10.425781,12
mexican_standoff_5p_1hp_lcgs_survive,mexican_standoff/mexican_standoff_5p_1hp.lcgs,mexican_standoff/can_p1_guarantee_to_survive_FALSE.json,16,0.069507,12.125000,15
mexican_standoff_5p_1hp_lcgs_survive,mexican_standoff/mexican_standoff_5p_1hp.lcgs,mexican_standoff/can_p1_guarantee_to_survive_FALSE.json,32,0.074614,15.714844,14
ttt1,tic_tac_toe/tic_tac_toe.lcgs,tic_tac_toe/can_cross_avoid_lose_TRUE.json,1,1.498532,23.792969,1
ttt1,tic_tac_toe/tic_tac_toe.lcgs,tic_tac_toe/can_cross_avoid_lose_TRUE.json,2,1.940913,54.210938,1
ttt1,tic_tac_toe/tic_tac_toe.lcgs,tic_tac_toe/can_cross_avoid_lose_TRUE.json,4,1.026032,58.175781,1
ttt1,tic_tac_toe/tic_tac_toe.lcgs,tic_tac_toe/can_cross_avoid_lose_TRUE.json,8,0.588782,69.937500,2
ttt1,tic_tac_toe/tic_tac_toe.lcgs,tic_tac_toe/can_cross_avoid_lose_TRUE.json,16,0.359027,86.714844,3
ttt1,tic_tac_toe/tic_tac_toe.lcgs,tic_tac_toe/can_cross_avoid_lose_TRUE.json,32,0.245294,89.265625,5
ttt2,tic_tac_toe/tic_tac_toe.lcgs,tic_tac_toe/can_cross_guarantee_tie_TRUE.json,1,1.376794,26.738281,1
ttt2,tic_tac_toe/tic_tac_toe.lcgs,tic_tac_toe/can_cross_guarantee_tie_TRUE.json,2,0.759061,33.183594,2
ttt2,tic_tac_toe/tic_tac_toe.lcgs,tic_tac_toe/can_cross_guarantee_tie_TRUE.json,4,0.432461,35.179688,3
ttt2,tic_tac_toe/tic_tac_toe.lcgs,tic_tac_toe/can_cross_guarantee_tie_TRUE.json,8,0.284599,43.195312,4
ttt2,tic_tac_toe/tic_tac_toe.lcgs,tic_tac_toe/can_cross_guarantee_tie_TRUE.json,16,0.219943,45.468750,5
ttt2,tic_tac_toe/tic_tac_toe.lcgs,tic_tac_toe/can_cross_guarantee_tie_TRUE.json,32,0.209552,47.394531,5
ttt3,tic_tac_toe/tic_tac_toe.lcgs,tic_tac_toe/can_cross_guarantee_win_FALSE.json,1,1.489582,26.457031,1
ttt3,tic_tac_toe/tic_tac_toe.lcgs,tic_tac_toe/can_cross_guarantee_win_FALSE.json,2,0.811546,33.757812,2
ttt3,tic_tac_toe/tic_tac_toe.lcgs,tic_tac_toe/can_cross_guarantee_win_FALSE.json,4,0.460360,35.800781,3
ttt3,tic_tac_toe/tic_tac_toe.lcgs,tic_tac_toe/can_cross_guarantee_win_FALSE.json,8,0.304286,44.191406,4
ttt3,tic_tac_toe/tic_tac_toe.lcgs,tic_tac_toe/can_cross_guarantee_win_FALSE.json,16,0.237294,46.382812,5
ttt3,tic_tac_toe/tic_tac_toe.lcgs,tic_tac_toe/can_cross_guarantee_win_FALSE.json,32,0.227473,48.535156,5
ttt4,tic_tac_toe/tic_tac_toe.lcgs,tic_tac_toe/can_nought_avoid_lose_TRUE.json,1,4.218158,57.480469,1
ttt4,tic_tac_toe/tic_tac_toe.lcgs,tic_tac_toe/can_nought_avoid_lose_TRUE.json,2,2.166583,61.898438,1
ttt4,tic_tac_toe/tic_tac_toe.lcgs,tic_tac_toe/can_nought_avoid_lose_TRUE.json,4,1.155597,73.226562,1
ttt4,tic_tac_toe/tic_tac_toe.lcgs,tic_tac_toe/can_nought_avoid_lose_TRUE.json,8,0.628538,75.160156,2
ttt4,tic_tac_toe/tic_tac_toe.lcgs,tic_tac_toe/can_nought_avoid_lose_TRUE.json,16,0.389351,88.574219,3
ttt4,tic_tac_toe/tic_tac_toe.lcgs,tic_tac_toe/can_nought_avoid_lose_TRUE.json,32,0.274777,93.992188,4
ttt5,tic_tac_toe/tic_tac_toe.lcgs,tic_tac_toe/can_nought_guarantee_win_FALSE.json,1,1.430382,25.890625,1
ttt5,tic_tac_toe/tic_tac_toe.lcgs,tic_tac_toe/can_nought_guarantee_win_FALSE.json,2,0.772443,33.027344,2
ttt5,tic_tac_toe/tic_tac_toe.lcgs,tic_tac_toe/can_nought_guarantee_win_FALSE.json,4,0.442417,34.667969,3
ttt5,tic_tac_toe/tic_tac_toe.lcgs,tic_tac_toe/can_nought_guarantee_win_FALSE.json,8,0.292541,43.062500,4
ttt5,tic_tac_toe/tic_tac_toe.lcgs,tic_tac_toe/can_nought_guarantee_win_FALSE.json,16,0.224027,45.199219,5
ttt5,tic_tac_toe/tic_tac_toe.lcgs,tic_tac_toe/can_nought_guarantee_win_FALSE.json,32,0.218354,47.972656,5
rc1,robot_grid/robot_grid_N3.lcgs,robot_grid/can_r1_and_r2_swap_with_help_from_r3_FALSE.json,1,87.336185,782.910156,1
rc1,robot_grid/robot_grid_N3.lcgs,robot_grid/can_r1_and_r2_swap_with_help_from_r3_FALSE.json,2,42.419510,893.917969,1
rc1,robot_grid/robot_grid_N3.lcgs,robot_grid/can_r1_and_r2_swap_with_help_from_r3_FALSE.json,4,21.263775,980.109375,1
rc1,robot_grid/robot_grid_N3.lcgs,robot_grid/can_r1_and_r2_swap_with_help_from_r3_FALSE.json,8,11.121800,1002.246094,1
rc1,robot_grid/robot_grid_N3.lcgs,robot_grid/can_r1_and_r2_swap_with_help_from_r3_FALSE.json,16,6.264311,1185.687500,1
rc1,robot_grid/robot_grid_N3.lcgs,robot_grid/can_r1_and_r2_swap_with_help_from_r3_FALSE.json,32,4.175014,1234.070312,1
rc2,robot_grid/robot_grid_N3.lcgs,robot_grid/everyone_starts_home_TRUE.json,1,0.023220,8.769531,44
rc2,robot_grid/robot_grid_N3.lcgs,robot_grid/everyone_starts_home_TRUE.json,2,0.026610,8.921875,38
rc2,robot_grid/robot_grid_N3.lcgs,robot_grid/everyone_starts_home_TRUE.json,4,0.027293,9.417969,37
rc2,robot_grid/robot_grid_N3.lcgs,robot_grid/everyone_starts_home_TRUE.json,8,0.030300,10.734375,34
rc2,robot_grid/robot_grid_N3.lcgs,robot_grid/everyone_starts_home_TRUE.json,16,0.035360,13.265625,29
rc2,robot_grid/robot_grid_N3.lcgs,robot_grid/everyone_starts_home_TRUE.json,32,0.048949,18.203125,21
rc3,robot_grid/robot_grid_N3.lcgs,robot_grid/exist_path_to_targets_with_no_crashes_TRUE.json,1,1.410980,21.691406,1
rc3,robot_grid/robot_grid_N3.lcgs,robot_grid/exist_path_to_targets_with_no_crashes_TRUE.json,2,1.925257,41.781250,1
rc3,robot_grid/robot_grid_N3.lcgs,robot_grid/exist_path_to_targets_with_no_crashes_TRUE.json,4,12.659686,453.898438,1
rc3,robot_grid/robot_grid_N3.lcgs,robot_grid/exist_path_to_targets_with_no_crashes_TRUE.json,8,7.995937,658.917969,1
rc3,robot_grid/robot_grid_N3.lcgs,robot_grid/exist_path_to_targets_with_no_crashes_TRUE.json,16,4.255506,730.835938,1
rc3,robot_grid/robot_grid_N3.lcgs,robot_grid/exist_path_to_targets_with_no_crashes_TRUE.json,32,2.251240,679.917969,1
pa1_3proc,peterson/3/peterson_03.lcgs,peterson/p0_eventually_get_access_if_requested_TRUE.json,1,0.053892,9.167969,19
pa1_3proc,peterson/3/peterson_03.lcgs,peterson/p0_eventually_get_access_if_requested_TRUE.json,2,0.069609,9.339844,15
pa1_3proc,peterson/3/peterson_03.lcgs,peterson/p0_eventually_get_access_if_requested_TRUE.json,4,0.081599,9.753906,13
pa1_3proc,peterson/3/peterson_03.lcgs,peterson/p0_eventually_get_access_if_requested_TRUE.json,8,0.103497,10.203125,10
pa1_3proc,peterson/3/peterson_03.lcgs,peterson/p0_eventually_get_access_if_requested_TRUE.json,16,0.132328,11.609375,8
pa1_3proc,peterson/3/peterson_03.lcgs,peterson/p0_eventually_get_access_if_requested_TRUE.json,32,0.198073,15.074219,6
pa2_3proc,peterson/3/peterson_03.lcgs,peterson/p0_eventually_reach_CS_TRUE.json,1,0.033272,9.046875,31
pa2_3proc,peterson/3/peterson_03.lcgs,peterson/p0_eventually_reach_CS_TRUE.json,2,0.040384,9.089844,25
pa2_3proc,peterson/3/peterson_03.lcgs,peterson/p0_eventually_reach_CS_TRUE.json,4,0.042614,9.203125,24
pa2_3proc,peterson/3/peterson_03.lcgs,peterson/p0_eventually_reach_CS_TRUE.json,8,0.045984,9.519531,22
pa2_3proc,peterson/3/peterson_03.lcgs,peterson/p0_eventually_reach_CS_TRUE.json,16,0.045544,10.378906,22
pa2_3proc,peterson/3/peterson_03.lcgs,peterson/p0_eventually_reach_CS_TRUE.json,32,0.048945,12.507812,21
pa3_3proc,peterson/3/peterson_03.lcgs,peterson/3/ensure_mutual_exclusion_TRUE_03.json,1,0.044872,9.046875,23
pa3_3proc,peterson/3/peterson_03.lcgs,peterson/3/ensure_mutual_exclusion_TRUE_03.json,2,0.050138,9.156250,20
pa3_3proc,peterson/3/peterson_03.lcgs,peterson/3/ensure_mutual_exclusion_TRUE_03.json,4,0.059085,9.375000,17
pa3_3proc,peterson/3/peterson_03.lcgs,peterson/3/ensure_mutual_exclusion_TRUE_03.json,8,0.074075,9.792969,14
pa3_3proc,peterson/3/peterson_03.lcgs,peterson/3/ensure_mutual_exclusion_TRUE_03.json,16,0.096378,10.917969,11
pa3_3proc,peterson/3/peterson_03.lcgs,peterson/3/ensure_mutual_exclusion_TRUE_03.json,32,0.149168,13.671875,7
pa4_3proc,peterson/3/peterson_03.lcgs,peterson/3/multiple_in_CS_FALSE_03.json,1,0.033583,9.039062,30
pa4_3proc,peterson/3/peterson_03.lcgs,peterson/3/multiple_in_CS_FALSE_03.json,2,0.039545,9.132812,26
pa4_3proc,peterson/3/peterson_03.lcgs,peterson/3/multiple_in_CS_FALSE_03.json,4,0.045414,9.164062,23
pa4_3proc,peterson/3/peterson_03.lcgs,peterson/3/multiple_in_CS_FALSE_03.json,8,0.050980,9.273438,20
pa4_3proc,peterson/3/peterson_03.lcgs,peterson/3/multiple_in_CS_FALSE_03.json,16,0.067071,10.171875,15
pa4_3proc,peterson/3/peterson_03.lcgs,peterson/3/multiple_in_CS_FALSE_03.json,32,0.100532,12.269531,10
pa5_3proc,peterson/3/peterson_03.lcgs,peterson/3/never_reach_deadlock_TRUE_03.json,1,0.050457,9.019531,20
pa5_3proc,peterson/3/peterson_03.lcgs,peterson/3/never_reach_deadlock_TRUE_03.json,2,0.045765,9.183594,22
pa5_3proc,peterson/3/peterson_03.lcgs,peterson/3/never_reach_deadlock_TRUE_03.json,4,0.046179,9.429688,22
pa5_3proc,peterson/3/peterson_03.lcgs,peterson/3/never_reach_deadlock_TRUE_03.json,8,0.049193,9.917969,21
pa5_3proc,peterson/3/peterson_03.lcgs,peterson/3/never_reach_deadlock_TRUE_03.json,16,0.049838,10.761719,21
pa5_3proc,peterson/3/peterson_03.lcgs,peterson/3/never_reach_deadlock_TRUE_03.json,32,0.052948,13.671875,19
pa1_4proc,peterson/4/peterson_04.lcgs,peterson/p0_eventually_get_access_if_requested_TRUE.json,1,0.075626,9.320312,14
pa1_4proc,peterson/4/peterson_04.lcgs,peterson/p0_eventually_get_access_if_requested_TRUE.json,2,0.102005,9.535156,10
pa1_4proc,peterson/4/peterson_04.lcgs,peterson/p0_eventually_get_access_if_requested_TRUE.json,4,0.108079,9.714844,10
pa1_4proc,peterson/4/peterson_04.lcgs,peterson/p0_eventually_get_access_if_requested_TRUE.json,8,0.128372,10.726562,8
pa1_4proc,peterson/4/peterson_04.lcgs,peterson/p0_eventually_get_access_if_requested_TRUE.json,16,0.166377,13.343750,7
pa1_4proc,peterson/4/peterson_04.lcgs,peterson/p0_eventually_get_access_if_requested_TRUE.json,32,0.231288,17.742188,5
pa2_4proc,peterson/4/peterson_04.lcgs,peterson/p0_eventually_reach_CS_TRUE.json,1,0.042346,9.074219,24
pa2_4proc,peterson/4/peterson_04.lcgs,peterson/p0_eventually_reach_CS_TRUE.json,2,0.051739,9.148438,20
pa2_4proc,peterson/4/peterson_04.lcgs,peterson/p0_eventually_reach_CS_TRUE.json,4,0.056623,9.320312,18
pa2_4proc,peterson/4/peterson_04.lcgs,peterson/p0_eventually_reach_CS_TRUE.json,8,0.058985,9.800781,17
pa2_4proc,peterson/4/peterson_04.lcgs,peterson/p0_eventually_reach_CS_TRUE.json,16,0.060274,11.800781,17
pa2_4proc,peterson/4/peterson_04.lcgs,peterson/p0_eventually_reach_CS_TRUE.json,32,0.071606,15.035156,14
pa3_4proc,peterson/4/peterson_04.lcgs,peterson/4/ensure_mutual_exclusion_TRUE_04.json,1,0.055271,9.113281,19
pa3_4proc,peterson/4/peterson_04.lcgs,peterson/4/ensure_mutual_exclusion_TRUE_04.json,2,0.068017,9.261719,15
pa3_4proc,peterson/4/peterson_04.lcgs,peterson/4/ensure_mutual_exclusion_TRUE_04.json,4,0.076061,9.500000,14
pa3_4proc,peterson/4/peterson_04.lcgs,peterson/4/ensure_mutual_exclusion_TRUE_04.json,8,0.089101,10.148438,12
pa3_4proc,peterson/4/peterson_04.lcgs,peterson/4/ensure_mutual_exclusion_TRUE_04.json,16,0.115476,12.363281,9
pa3_4proc,peterson/4/peterson_04.lcgs,peterson/4/ensure_mutual_exclusion_TRUE_04.json,32,0.169911,16.039062,6
pa4_4proc,peterson/4/peterson_04.lcgs,peterson/4/multiple_in_CS_FALSE_04.json,1,0.042979,8.984375,24
pa4_4proc,peterson/4/peterson_04.lcgs,peterson/4/multiple_in_CS_FALSE_04.json,2,0.049322,9.136719,21
pa4_4proc,peterson/4/peterson_04.lcgs,peterson/4/multiple_in_CS_FALSE_04.json,4,0.056804,9.375000,18
pa4_4proc,peterson/4/peterson_04.lcgs,peterson/4/multiple_in_CS_FALSE_04.json,8,0.064006,9.800781,16
pa4_4proc,peterson/4/peterson_04.lcgs,peterson/4/multiple_in_CS_FALSE_04.json,16,0.080875,11.550781,13
pa4_4proc,peterson/4/peterson_04.lcgs,peterson/4/multiple_in_CS_FALSE_04.json,32,0.107477,14.722656,10
pa5_4proc,peterson/4/peterson_04.lcgs,peterson/4/never_reach_deadlock_TRUE_04.json,1,0.070320,9.210938,15
pa5_4proc,peterson/4/peterson_04.lcgs,peterson/4/never_reach_deadlock_TRUE_04.json,2,0.059513,9.300781,17
pa5_4proc,peterson/4/peterson_04.lcgs,peterson/4/never_reach_deadlock_TRUE_04.json,4,0.058508,9.523438,18
pa5_4proc,peterson/4/peterson_04.lcgs,peterson/4/never_reach_deadlock_TRUE_04.json,8,0.058634,10.242188,18
pa5_4proc,peterson/4/peterson_04.lcgs,peterson/4/never_reach_deadlock_TRUE_04.json,16,0.061311,12.308594,17
pa5_4proc,peterson/4/peterson_04.lcgs,peterson/4/never_reach_deadlock_TRUE_04.json,32,0.067478,15.546875,15
pa1_9proc,peterson/9/peterson_09.lcgs,peterson/p0_eventually_get_access_if_requested_TRUE.json,1,5.370280,17.031250,1
pa1_9proc,peterson/9/peterson_09.lcgs,peterson/p0_eventually_get_access_if_requested_TRUE.json,2,5.046648,20.351562,1
pa1_9proc,peterson/9/peterson_09.lcgs,peterson/p0_eventually_get_access_if_requested_TRUE.json,4,4.792175,24.046875,1
pa1_9proc,peterson/9/peterson_09.lcgs,peterson/p0_eventually_get_access_if_requested_TRUE.json,8,4.555903,31.332031,1
pa1_9proc,peterson/9/peterson_09.lcgs,peterson/p0_eventually_get_access_if_requested_TRUE.json,16,4.593903,47.867188,1
pa1_9proc,peterson/9/peterson_09.lcgs,peterson/p0_eventually_get_access_if_requested_TRUE.json,32,4.657199,78.351562,1
gg1_circular,gossipping_girls/gossipping_girls_circular.lcgs,gossipping_girls/all_girls_ensure_that_all_girls_gets_omniscient_before_10_steps_TRUE.json,1,0.170294,10.074219,6
gg1_circular,gossipping_girls/gossipping_girls_circular.lcgs,gossipping_girls/all_girls_ensure_that_all_girls_gets_omniscient_before_10_steps_TRUE.json,2,0.507436,17.796875,2
gg1_circular,gossipping_girls/gossipping_girls_circular.lcgs,gossipping_girls/all_girls_ensure_that_all_girls_gets_omniscient_before_10_steps_TRUE.json,4,0.205519,16.867188,5
gg1_circular,gossipping_girls/gossipping_girls_circular.lcgs,gossipping_girls/all_girls_ensure_that_all_girls_gets_omniscient_before_10_steps_TRUE.json,8,0.129914,19.578125,9
gg1_circular,gossipping_girls/gossipping_girls_circular.lcgs,gossipping_girls/all_girls_ensure_that_all_girls_gets_omniscient_before_10_steps_TRUE.json,16,0.089385,24.519531,12
gg1_circular,gossipping_girls/gossipping_girls_circular.lcgs,gossipping_girls/all_girls_ensure_that_all_girls_gets_omniscient_before_10_steps_TRUE.json,32,0.072097,28.214844,14
gg2_circular,gossipping_girls/gossipping_girls_circular.lcgs,gossipping_girls/all_girls_ensure_that_only_player_one_gets_omniscient_before_10_steps_TRUE.json,1,2.154473,27.007812,1
gg2_circular,gossipping_girls/gossipping_girls_circular.lcgs,gossipping_girls/all_girls_ensure_that_only_player_one_gets_omniscient_before_10_steps_TRUE.json,2,1.048851,28.843750,1
